┌─────────┬────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┬─────────────────────────────────────────────┬─────────────────────────────────────────────┬──────┐
│ (index) │ name                                                                                                               │ got                                         │ want                                        │ ok   │
│ 51      │ "[SAT] …the tick blocks: {(show('x') || show('y')) && chartStyleT…"                                                │ 'true'                                      │ 'true'                                      │ true │
│ 52      │ "[SAT] …and the character-size block of the focused views: section !== 'all' && section !== 'series…"              │ 'true'                                      │ 'true'                                      │ true │
│ 53      │ '[SAT] ChartPanel wires the inspector for its charts: <ChartInspector cfg={cfg} setCfg={setCfg…'                   │ 'true'                                      │ 'true'                                      │ true │
│ 54      │ '[SAT] …and takes the style object as props: cfg = null,…'                                                         │ 'true'                                      │ 'true'                                      │ true │
│ 55      │ '[SAT] SharedChart wires it too (double-click on a small chart): containerRef={chartRef}…'                         │ 'true'                                      │ 'true'                                      │ true │
│ 56      │ '[SAT] …when the caller can write the style back: cfg={setCfg ? cfg : null}…'                                      │ 'true'                                      │ 'true'                                      │ true │
│ 57      │ '[STYLE] the axis-title room helper: export const axisTitleRoomPx = (texts, f…'                                    │ 'true'                                      │ 'true'                                      │ true │
│ 58      │ '[STYLE] the box grows with the y title: const minHeight = Math.max(220, yRoom + …'                                │ 'true'                                      │ 'true'                                      │ true │
│ 59      │ '[STYLE] the Chart.js padding helper: export const chartJsPadding = (cfg = {},…'                                   │ 'true'                                      │ 'true'                                      │ true │
│ 60      │ '[STYLE] the Chart.js height helper: export const chartJsHeightFit = (height,…'                                    │ 'true'                                      │ 'true'                                      │ true │
│ 61      │ '[CSS] the recharts surface no longer clips its labels: .recharts-surface,…'                                       │ 'true'                                      │ 'true'                                      │ true │
│ 62      │ '[NMR] the 1D spectrum is double-clickable: containerRef={chartRef}…'                                              │ 'true'                                      │ 'true'                                      │ true │
│ 63      │ '[NMR] …with the style object of the panel: series={series}…'                                                      │ 'true'                                      │ 'true'                                      │ true │
│ 64      │ '[NMR] …and room for its y title: chartBoxStyle(cfg, { yTitle: yLab })…'                                           │ 'true'                                      │ 'true'                                      │ true │
│ 65      │ '[CD] the CD spectrum is double-clickable: series={seriesList}…'                                                   │ 'true'                                      │ 'true'                                      │ true │
│ 66      │ '[CD] …and room for its y title: chartBoxStyle(cfg, { square: false, yTit…'                                        │ 'true'                                      │ 'true'                                      │ true │
│ 67      │ '[ssNMR] the spectrum is double-clickable: series={seriesList}…'                                                   │ 'true'                                      │ 'true'                                      │ true │
│ 68      │ '[ssNMR] …and room for its y title: chartBoxStyle(cfg, { yTitle: yLab })…'                                         │ 'true'                                      │ 'true'                                      │ true │
│ 69      │ '[Plate] the dose-response canvas gets padding from the character size: layout: { padding: chartJsPadding(chartC…' │ 'true'                                      │ 'true'                                      │ true │
│ 70      │ '[Plate] …and a height that fits the rotated y title: chartJsHeightFit(chartH, chartCfg, { yTi…'                   │ 'true'                                      │ 'true'                                      │ true │
└─────────┴────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┴─────────────────────────────────────────────┴─────────────────────────────────────────────┴──────┘

✅ 71/71 checks passed
